st_mass,st_age
0.891,3.3
0.88,6.1
0.95,2.4
0.635,9.4
1.025,6.1
1.138,5.7
0.88,7.0
1.033,8.0
1.41,2.69
1.127,4.4
0.416,1.5
1.022,0.7
1.093,4.67
0.94,4.68
1.24,2.3
0.98,0.5
1.32,3.5
1.28,3.24
0.99,9.3
0.922,4.9
1.0,5.3
1.03,5.37
0.952,9.12
0.89,4.37
1.21,3.31
0.81,6.46
1.01,5.8
0.848,11.75
0.982,5.6
0.895,1.4
0.95,4.47
1.11,3.55
0.82,1.95
1.07,2.9
0.9042,5.5
1.23,2.97
1.041,8.91
0.96,4.27
1.05,4.07
0.57,2.69
0.88,5.0
1.18,3.17
0.84,4.47
1.03,4.9
0.79,4.57
0.91,4.27
0.534,1.6
1.0,8.5
0.627,13.9
1.291,4.27
0.8,5.13
1.02,4.17
0.927,9.12
0.96,4.79
0.81,5.25
1.104,0.3
0.877,0.93
1.14,2.81
0.864,5.13
1.7,1.74
0.93,4.37
0.943,0.6
1.06,3.98
1.33,4.0
1.01,4.9
0.86,4.68
0.91,4.27
0.9,4.17
1.186,3.47
1.18,0.23
0.98,6.17
0.33,2.0
0.8,4.9
1.26,3.39
0.95,5.01
0.97,3.72
1.004,0.5
1.11,1.77
1.13,7.76
1.14,7.2
0.9,4.27
1.19,2.88
0.63,5.62
0.99,3.8
1.291,4.27
0.84,4.9
1.4,2.9
0.96,4.27
1.27,4.365
0.959,0.6
1.1,2.04
1.17,2.73
1.07,0.3
1.51,1.64
1.14,2.95
0.76,2.51
1.11,2.24
1.05,2.0
1.023,0.3
0.69,2.4
0.97,4.9
1.01,12.0
0.97,7.6
1.078,6.46
1.09,3.55
0.965,6.92
0.84,1.86
0.92,7.7
0.94,4.37
0.94,5.01
0.95,4.07
1.19,0.24
0.926,2.4
0.552,13.6
0.688,11.0
0.896,9.0
1.26,3.1
0.85,6.1
0.577,7.2
0.91,4.17
0.909,14.0
0.825,2.82
1.2,6.0
1.084,5.1
0.778,8.1
1.22,2.5
0.8,1.41
0.495,2.9
0.339,8.2
1.1,5.62
0.826,13.6
0.913,1.32
1.03,0.075
1.26,1.1
1.218,2.0
0.83,3.8
0.383,5.0
1.212,1.4
0.601,1.0
0.77,1.0
0.85,5.13
